		Jaccard	Semantic	event
HOG:0003084	HOG:0002855	1.0	88.22206244703926	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003084	1.0	248.49637875239205	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003123	1.0	121.55033996725604	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003166	1.0	203.63530820445848	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003274	1.0	20.37764340593595	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003441	1.0	97.12969835136093	3123-duplication-gain-loss-presence
HOG:0003084	HOG:0003515	1.0	17.51519150598312	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0002813	1.0	204.2340882701383	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0002855	1.0	96.68529026662239	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003084	1.0	93.40512820054019	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003166	1.0	210.96988624316072	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003270	1.0	101.47146248416071	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003274	1.0	16.723789527428337	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003279	1.0	101.47146248416071	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003441	1.0	141.75271277161215	3123-duplication-gain-loss-presence
HOG:0003123	HOG:0003515	1.0	19.33151143735777	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0002813	1.0	257.346418926994	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0002855	1.0	158.4075986978291	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0003084	1.0	99.41400996821483	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0003123	1.0	131.13366712808826	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0003166	1.0	379.29341194073226	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0003270	1.0	102.47732603691476	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0003274	1.0	16.022692703492538	3123-duplication-gain-loss-presence
HOG:0003166	HOG:0003279	1.0	102.47732603691476	3123-duplication-gain-loss-presence
